Transcript_ID	Transcript_ID	Gene_ID	Description	IO_Read_Count	IX_Read_Count	NO_Read_Count	NX_Read_Count	IO_FPKM	IX_FPKM	NO_FPKM	NX_FPKM
Os12g0101000	Os12t0101000-01,Os12t0101000-02,Os12t0101000-03	.	.	0	28	0	188	0.0	3.845378	0.0	18.034299
Os02g0101000	Os02t0101000-01,Os02t0101000-02	.	.	73	172	101	302	35.258045	35.938671	38.041504	26.679529
Os03g0101000	Os03t0101000-01	.	.	0	10	0	19	0.0	5.411039	0.0	4.138398
Os04g0101100	Os04t0101100-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0101100	Os03t0101100-01	.	.	28	115	28	200	23.85392	42.313194	18.671707	31.022923
Os06g0101100	Os06t0101100-01	.	.	3	14	0	30	1.883447	5.376678	0.0	5.054983
Os10g0101100	Os10t0101100-01	.	.	22	59	37	191	12.468018	14.369407	16.484476	19.817377
Os02g0101100	Os02t0101100-01	.	.	0	72	8	70	0.0	16.277363	3.202413	6.702764
Os09g0101100	Os09t0101100-01	.	.	23	40	5	49	6.12924	4.757131	1.08505	2.490291
Os08g0101100	Os08t0101100-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os07g0101101	Os07t0101101-01	.	.	6	10	0	0	8.018897	5.917882	0.0	0.0
Os10g0101125	Os10t0101125-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os10g0101150	Os10t0101150-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os01g0101150	Os01t0101150-00	.	.	0	6	4	12	0.0	1.116443	1.346632	0.908487
Os01g0101175	Os01t0101175-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os07g0101200	Os07t0101200-01	.	.	0	5	3	48	0.0	0.679758	0.614934	3.418293
Os11g0101200	Os11t0101200-01,Os11t0101200-02,Os11t0101200-03	.	.	0	24	20	220	0.0	3.286142	6.414931	19.558917
Os01g0101200	Os01t0101200-01,Os01t0101200-02	.	.	0	28	8	122	0.0	3.971364	2.104274	7.52525
Os10g0101200	Os10t0101200-01	.	.	153	421	280	725	96.546494	115.095978	138.666245	83.717072
Os03g0101200	Os03t0101200-00	.	.	0	0	0	11	0.0	0.0	0.0	0.912446
Os09g0101200	Os09t0101200-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os05g0101200	Os05t0101200-01	.	.	52	259	140	668	28.829029	63.30513	61.885952	68.880188
Os03g0101250	Os03t0101250-01	.	.	0	0	0	10	0.0	0.0	0.0	4.974659
Os02g0101300	Os02t0101300-01	.	.	5	4	1	2	7.511827	2.543509	0.76104	0.357952
Os09g0101300	Os09t0101300-00	.	.	0	5	0	0	0.0	1.714842	0.0	0.0
Os05g0101300	Os05t0101300-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0101300	Os03t0101300-01,Os03t0101300-02	.	.	48	120	40	159	20.851336	25.708202	13.638491	14.442658
Os07g0101300	Os07t0101300-01	.	.	8	16	0	59	2.210547	1.911192	0.0	2.931927
Os01g0101300	Os01t0101300-01	.	.	2	15	4	35	1.10265	3.516167	1.723762	3.478317
