geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os01g72530	102	265	949	1542	3.906008268	9.9561142	35.98496519	59.79185919	2.820461869	4.787530659	5.49E-11	1.97E-08		
LOC_Os02g36070	4	21	185	146	0.153176795	0.788975088	7.014982676	5.661226616	3.760503954	1.801524137	7.12E-11	2.51E-08		
LOC_Os02g35020	4	11	92	94	0.153176795	0.413272665	3.488531925	3.644899328	3.654547181	1.002543862	1.32E-10	4.56E-08		
LOC_Os02g36190	22	57	401	238	0.842472372	2.141503809	15.20544894	9.228574894	3.053352612	2.794013672	1.53E-10	5.17E-08		
LOC_Os01g53260	21	14	159	132	0.804178173	0.525983392	6.029093219	5.118369269	3.078771546	1.678495107	1.54E-10	5.17E-08		
LOC_Os09g35010	22	35	176	241	0.842472372	1.314958479	6.673713248	9.344901468	2.913115853	2.212434395	1.69E-10	5.55E-08		
LOC_Os03g45960	192	394	1170	1616	7.352486151	14.80267545	44.36502557	62.66124802	2.301995042	5.021601617	2.20E-10	7.12E-08		
LOC_Os04g56900	1	5	48	166	0.038294199	0.187851211	1.820103613	6.436737111	5.159676349	1.141647984	2.95E-10	9.41E-08		
LOC_Os02g50730	236	376	1092	1178	9.037430894	14.12641109	41.4073572	45.67756817	1.936680612	4.791462349	3.16E-10	9.92E-08		
LOC_Os05g48650	66	96	414	332	2.527417115	3.606743257	15.69839366	12.87347422	2.241201967	3.131432963	3.76E-10	1.16E-07		
LOC_Os05g39580	155	139	23	13	5.935600799	5.222263675	0.872132981	0.504081822	-2.989551864	1.673782229	4.37E-10	1.33E-07		
LOC_Os12g11550	14	32	322	142	0.536118782	1.202247752	12.20986174	5.506124517	3.362882703	2.304426552	5.68E-10	1.70E-07		
LOC_Os06g50940	4	3	46	100	0.153176795	0.112710727	1.744265963	3.877552476	4.380985099	0.633418617	5.74E-10	1.70E-07		
