TF.Gene.id	Target.gene.id
LOC_Os01g71790	LOC_Os11g12400
LOC_Os01g71790	LOC_Os07g48390
LOC_Os01g71790	LOC_Os01g54900
LOC_Os01g71790	LOC_Os02g39360
LOC_Os01g71790	LOC_Os06g08460
LOC_Os01g71790	LOC_Os05g34950
LOC_Os01g71790	LOC_Os03g15180
LOC_Os01g71790	LOC_Os10g41930
LOC_Os01g71790	LOC_Os01g68940
LOC_Os01g71790	LOC_Os07g44860
LOC_Os01g71790	LOC_Os04g32650
LOC_Os01g71790	LOC_Os03g55040
LOC_Os01g71790	LOC_Os08g38280
LOC_Os01g71790	LOC_Os08g40490
LOC_Os01g71790	LOC_Os01g16146
LOC_Os01g71790	LOC_Os09g36190
LOC_Os01g72370	LOC_Os01g45914
LOC_Os01g72370	LOC_Os03g51530
LOC_Os01g72370	LOC_Os04g46130
LOC_Os01g72370	LOC_Os10g11110
LOC_Os01g72490	LOC_Os06g21620
LOC_Os01g72490	LOC_Os02g13130
LOC_Os01g72490	LOC_Os03g25430
LOC_Os01g72490	LOC_Os04g40300
LOC_Os01g72490	LOC_Os08g42550
LOC_Os01g72490	LOC_Os08g37270
LOC_Os01g72490	LOC_Os02g30140
LOC_Os01g72490	LOC_Os09g31470
LOC_Os01g72490	LOC_Os03g13590
LOC_Os01g72490	LOC_Os01g47620
LOC_Os01g72490	LOC_Os03g13770
LOC_Os01g72490	LOC_Os05g38670
LOC_Os01g72490	LOC_Os01g47256
LOC_Os01g72490	LOC_Os02g47770
LOC_Os01g74140	LOC_Os01g01030
LOC_Os01g74140	LOC_Os03g18850
LOC_Os01g74540	LOC_Os02g49360
LOC_Os01g74540	LOC_Os02g02020
LOC_Os01g74540	LOC_Os03g52490
LOC_Os01g74540	LOC_Os10g42790
LOC_Os01g74540	LOC_Os07g42950
LOC_Os01g74540	LOC_Os05g02050
LOC_Os01g74540	LOC_Os03g55310
LOC_Os01g74540	LOC_Os05g33760
LOC_Os01g74540	LOC_Os03g56590
LOC_Os01g74540	LOC_Os02g58300
LOC_Os01g74540	LOC_Os05g02410
LOC_Os01g74540	LOC_Os05g47640
LOC_Os01g74540	LOC_Os03g44310
LOC_Os01g74540	LOC_Os02g02740
LOC_Os01g74540	LOC_Os05g39390
LOC_Os01g74540	LOC_Os03g49610
LOC_Os01g74540	LOC_Os04g50960
LOC_Os01g74540	LOC_Os07g10660
LOC_Os01g74540	LOC_Os09g36740
LOC_Os01g74540	LOC_Os11g10100
LOC_Os01g74540	LOC_Os07g39090
LOC_Os01g74540	LOC_Os09g24690
LOC_Os01g74540	LOC_Os04g38700
LOC_Os01g74540	LOC_Os02g10490
LOC_Os01g74540	LOC_Os12g07010
LOC_Os01g74540	LOC_Os02g01380
LOC_Os01g74540	LOC_Os02g56520
LOC_Os01g74540	LOC_Os12g35620
LOC_Os01g74540	LOC_Os05g04215
LOC_Os01g74540	LOC_Os02g42560
LOC_Os01g74540	LOC_Os05g38580
LOC_Os01g74540	LOC_Os05g44600
LOC_Os01g74540	LOC_Os03g63400
LOC_Os01g74540	LOC_Os12g38650
LOC_Os01g74540	LOC_Os07g47480
LOC_Os01g74540	LOC_Os10g35550
LOC_Os01g74540	LOC_Os04g46950
LOC_Os01g74540	LOC_Os06g10660
LOC_Os01g74540	LOC_Os03g58870
LOC_Os01g74540	LOC_Os11g35030
LOC_Os01g74540	LOC_Os03g56241
LOC_Os01g74540	LOC_Os11g07500
LOC_Os01g74540	LOC_Os07g40460
LOC_Os01g74540	LOC_Os03g22380
LOC_Os01g74540	LOC_Os11g38250
LOC_Os01g74540	LOC_Os07g48180
LOC_Os01g74540	LOC_Os02g11750
LOC_Os01g74540	LOC_Os02g21080
LOC_Os01g74540	LOC_Os05g23600
LOC_Os01g74540	LOC_Os02g32430
LOC_Os01g74540	LOC_Os01g55500
LOC_Os01g74540	LOC_Os03g64080
LOC_Os01g74540	LOC_Os07g37150
LOC_Os01g74540	LOC_Os08g04440
LOC_Os01g74540	LOC_Os02g38340
LOC_Os01g74540	LOC_Os02g39880
LOC_Os01g74540	LOC_Os03g46930
LOC_Os02g01380	LOC_Os01g69290
LOC_Os02g01380	LOC_Os07g46480
LOC_Os02g01380	LOC_Os07g43990
LOC_Os02g01380	LOC_Os09g27230
LOC_Os02g01380	LOC_Os10g31790
LOC_Os02g01380	LOC_Os04g59340
LOC_Os02g01380	LOC_Os07g41740
LOC_Os02g01380	LOC_Os06g35530
LOC_Os02g01380	LOC_Os06g21620
LOC_Os02g01380	LOC_Os02g07890
LOC_Os02g01380	LOC_Os02g51414
LOC_Os02g01380	LOC_Os09g32300
LOC_Os02g01380	LOC_Os03g07260
LOC_Os02g01380	LOC_Os09g26330
LOC_Os02g01380	LOC_Os07g44004
LOC_Os02g01380	LOC_Os02g03040
LOC_Os02g01380	LOC_Os11g14990
LOC_Os02g01380	LOC_Os11g32270
LOC_Os02g01380	LOC_Os01g60430
LOC_Os02g01380	LOC_Os04g58550
LOC_Os02g01380	LOC_Os03g15020
LOC_Os02g02480	LOC_Os05g43670
LOC_Os02g02480	LOC_Os01g63290
LOC_Os02g02480	LOC_Os09g19700
LOC_Os02g02480	LOC_Os06g49680
LOC_Os02g02480	LOC_Os01g62380
LOC_Os02g02480	LOC_Os12g07060
LOC_Os02g02480	LOC_Os07g36960
LOC_Os02g02480	LOC_Os03g22880
LOC_Os02g02480	LOC_Os10g35690
LOC_Os02g02820	LOC_Os01g14926
LOC_Os02g02820	LOC_Os01g51060
LOC_Os02g02820	LOC_Os02g54790
LOC_Os02g02820	LOC_Os04g42210
LOC_Os02g02820	LOC_Os08g38280
LOC_Os02g02820	LOC_Os07g34250
LOC_Os02g02820	LOC_Os06g40570
LOC_Os02g02820	LOC_Os06g03210
LOC_Os02g02820	LOC_Os01g07970
LOC_Os02g02820	LOC_Os07g34570
LOC_Os02g02820	LOC_Os03g24310
LOC_Os02g02820	LOC_Os05g40020
LOC_Os02g03580	LOC_Os06g35910
LOC_Os02g03580	LOC_Os01g72080
LOC_Os02g03580	LOC_Os04g47120
LOC_Os02g03580	LOC_Os10g08754
LOC_Os02g03580	LOC_Os02g09770
LOC_Os02g03580	LOC_Os03g55730
LOC_Os02g03580	LOC_Os09g24580
LOC_Os02g03580	LOC_Os04g40660
LOC_Os02g03580	LOC_Os02g57710
LOC_Os02g03580	LOC_Os07g12910
LOC_Os02g03580	LOC_Os02g32350
LOC_Os02g03580	LOC_Os01g63460
LOC_Os02g03580	LOC_Os08g27030
LOC_Os02g03580	LOC_Os02g28720
LOC_Os02g03580	LOC_Os04g24160
LOC_Os02g03690	LOC_Os02g53340
LOC_Os02g03690	LOC_Os05g41620
LOC_Os02g03690	LOC_Os08g42550
LOC_Os02g03690	LOC_Os06g49080
LOC_Os02g03690	LOC_Os03g22890
LOC_Os02g03690	LOC_Os11g09640
LOC_Os02g03690	LOC_Os06g47350
LOC_Os02g03690	LOC_Os07g34598
LOC_Os02g03690	LOC_Os06g51450
LOC_Os02g03690	LOC_Os03g61140
LOC_Os02g03690	LOC_Os03g06240
LOC_Os02g03690	LOC_Os03g02720
LOC_Os02g03690	LOC_Os02g57380
LOC_Os02g03690	LOC_Os07g36960
LOC_Os02g03690	LOC_Os01g15790
LOC_Os02g03690	LOC_Os05g01100
LOC_Os02g03690	LOC_Os12g07730
LOC_Os02g03690	LOC_Os07g08140
LOC_Os02g03690	LOC_Os03g18720
LOC_Os02g03690	LOC_Os09g39700
LOC_Os02g03690	LOC_Os06g21560
LOC_Os02g03690	LOC_Os08g40860
LOC_Os02g03690	LOC_Os02g45240
LOC_Os02g03690	LOC_Os01g04600
LOC_Os02g03690	LOC_Os02g05520
LOC_Os02g03690	LOC_Os10g10434
LOC_Os02g03690	LOC_Os07g46310
LOC_Os02g03690	LOC_Os02g26700
LOC_Os02g03690	LOC_Os10g35220
LOC_Os02g03690	LOC_Os03g58880
LOC_Os02g03690	LOC_Os07g42395
LOC_Os02g03690	LOC_Os05g43670
LOC_Os02g03690	LOC_Os02g46850
LOC_Os02g03690	LOC_Os02g05810
LOC_Os02g03960	LOC_Os06g06980
LOC_Os02g03960	LOC_Os10g36980
LOC_Os02g03960	LOC_Os04g57810
LOC_Os02g04680	LOC_Os02g43480
LOC_Os02g04680	LOC_Os09g29970
LOC_Os02g04680	LOC_Os03g07600
LOC_Os02g05510	LOC_Os03g22380
LOC_Os02g05510	LOC_Os07g40460
LOC_Os02g05510	LOC_Os07g16950
LOC_Os02g05510	LOC_Os02g30840
LOC_Os02g05510	LOC_Os07g27930
LOC_Os02g05510	LOC_Os06g04640
LOC_Os02g05510	LOC_Os03g63690
LOC_Os02g05510	LOC_Os01g66520
LOC_Os02g05510	LOC_Os02g11750
LOC_Os02g05510	LOC_Os02g58090
LOC_Os02g05510	LOC_Os03g61140
LOC_Os02g05510	LOC_Os12g40560
LOC_Os02g05510	LOC_Os02g02424
LOC_Os02g05510	LOC_Os10g36250
LOC_Os02g05510	LOC_Os06g46890
LOC_Os02g05510	LOC_Os07g29420
LOC_Os02g05510	LOC_Os02g45480
LOC_Os02g05510	LOC_Os03g55310
LOC_Os02g05510	LOC_Os03g29740
LOC_Os02g05510	LOC_Os01g71960
LOC_Os02g05510	LOC_Os03g63530
LOC_Os02g05510	LOC_Os02g10080
LOC_Os02g05510	LOC_Os04g38700
LOC_Os02g05510	LOC_Os03g47800
LOC_Os02g05510	LOC_Os02g09600
LOC_Os02g06950	LOC_Os08g09240
LOC_Os02g06950	LOC_Os01g72009
LOC_Os02g06950	LOC_Os02g47650
LOC_Os02g06950	LOC_Os04g52500
LOC_Os02g06950	LOC_Os05g46220
LOC_Os02g06950	LOC_Os07g30150
LOC_Os02g06950	LOC_Os10g14180
LOC_Os02g07780	LOC_Os02g37309
LOC_Os02g07780	LOC_Os03g38150
LOC_Os02g07780	LOC_Os11g05556
LOC_Os02g07780	LOC_Os09g39180
LOC_Os02g07780	LOC_Os06g05960
LOC_Os02g07780	LOC_Os02g09940
LOC_Os02g07780	LOC_Os07g36140
LOC_Os02g07800	LOC_Os03g63740
LOC_Os02g07800	LOC_Os03g42480
LOC_Os02g07800	LOC_Os10g27180
LOC_Os02g07800	LOC_Os06g02170
LOC_Os02g07800	LOC_Os05g01100
LOC_Os02g07800	LOC_Os05g48070
LOC_Os02g07800	LOC_Os12g40770
LOC_Os02g07800	LOC_Os07g43316
LOC_Os02g07800	LOC_Os03g50120
LOC_Os02g07800	LOC_Os02g10690
LOC_Os02g07800	LOC_Os07g13890
LOC_Os02g07800	LOC_Os06g42810
LOC_Os02g07800	LOC_Os01g01670
LOC_Os02g07800	LOC_Os02g26960
LOC_Os02g07800	LOC_Os03g55310
LOC_Os02g07800	LOC_Os07g44730
LOC_Os02g07800	LOC_Os06g08770
LOC_Os02g07840	LOC_Os01g05830
LOC_Os02g07840	LOC_Os02g43720
LOC_Os02g07840	LOC_Os04g33820
LOC_Os02g07840	LOC_Os01g69870
LOC_Os02g08070	LOC_Os05g51820
LOC_Os02g08070	LOC_Os06g05320
LOC_Os02g08070	LOC_Os08g36250
LOC_Os02g08440	LOC_Os01g61080
LOC_Os02g08440	LOC_Os01g67820
LOC_Os02g08440	LOC_Os04g43440
LOC_Os02g08440	LOC_Os09g28440
LOC_Os02g08440	LOC_Os12g02240
LOC_Os02g08440	LOC_Os08g34790
LOC_Os02g08440	LOC_Os06g44170
LOC_Os02g08440	LOC_Os01g42140
LOC_Os02g08440	LOC_Os06g13180
LOC_Os02g08440	LOC_Os06g04240
LOC_Os02g08440	LOC_Os02g50940
LOC_Os02g08440	LOC_Os01g56220
LOC_Os02g08440	LOC_Os02g38980
LOC_Os02g08440	LOC_Os11g12330
LOC_Os02g08440	LOC_Os01g54350
LOC_Os02g08440	LOC_Os04g57540
LOC_Os02g08440	LOC_Os03g17670
LOC_Os02g08440	LOC_Os03g17010
LOC_Os02g08440	LOC_Os03g15070
LOC_Os02g08440	LOC_Os02g02600
LOC_Os02g08440	LOC_Os05g34680
LOC_Os02g08440	LOC_Os10g04620
LOC_Os02g08440	LOC_Os03g04370
LOC_Os02g08440	LOC_Os03g13590
LOC_Os02g08440	LOC_Os12g23700
LOC_Os02g08440	LOC_Os10g35640
LOC_Os02g08440	LOC_Os01g36080
LOC_Os02g08440	LOC_Os10g14194
LOC_Os02g08440	LOC_Os07g28820
LOC_Os02g08440	LOC_Os02g58080
LOC_Os02g08440	LOC_Os07g38260
LOC_Os02g08440	LOC_Os03g55560
LOC_Os02g08440	LOC_Os12g07290
LOC_Os02g08440	LOC_Os09g36300
LOC_Os02g08440	LOC_Os04g50950
LOC_Os02g08440	LOC_Os06g43190
LOC_Os02g08440	LOC_Os02g32160
LOC_Os02g08440	LOC_Os09g17190
LOC_Os02g08440	LOC_Os01g48290
LOC_Os02g08440	LOC_Os03g49640
LOC_Os02g08440	LOC_Os05g02780
LOC_Os02g08440	LOC_Os02g53780
LOC_Os02g08440	LOC_Os07g39860
LOC_Os02g08440	LOC_Os03g32420
LOC_Os02g08440	LOC_Os03g14990
LOC_Os02g08440	LOC_Os12g37770
LOC_Os02g08440	LOC_Os04g03920
LOC_Os02g08440	LOC_Os03g10080
LOC_Os02g09830	LOC_Os01g52980
LOC_Os02g09830	LOC_Os03g15600
LOC_Os02g09830	LOC_Os09g19890
LOC_Os02g09830	LOC_Os01g57510
LOC_Os02g09830	LOC_Os01g56160
LOC_Os02g09830	LOC_Os10g08018
LOC_Os02g09830	LOC_Os01g07970
LOC_Os02g09830	LOC_Os03g22270
LOC_Os02g09830	LOC_Os11g06930
LOC_Os02g09830	LOC_Os06g42840
LOC_Os02g09830	LOC_Os09g31060
LOC_Os02g09830	LOC_Os03g51050
LOC_Os02g09830	LOC_Os02g49860
LOC_Os02g09830	LOC_Os09g28480
